muscle_group,exercise_name
Calves,Double Leg Calf Raise w/Step
Calves,Single Leg Calf Raise w/Step
Calves,Calf Raises w/Knees Bent
Quads,Heel Elevated Squats
Quads,Leg Extensions
Quads,Walking Lunges
Quads,Reverse Lunges
Quads,Split Squats
Quads,Single Leg Squats
Hamstrings,Hamstring Curls
Hamstrings,RDLs
Glutes,Walking Lunges
Glutes,Reverse Lunges
Glutes,Split Squats
Glutes,Hip Thrusts
Core,Crunches
Core,Reverse Crunches
Core,Hanging Knee/Leg Raises
Core,Leg Raises
Core,Crunch Pullthroughs
Back,Pull Ups
Back,Lat Pull Downs
Back,Cable Pullover
Back,Dumbbell Pullover
Back,Cable Row
Back,TRX Row
Back,Dumbbell Rows
Back,Chest Supported DB Rows
Back,Face Pulls
Back,Rear Delt Flys
Back,Shrugs
Chest,Bench Press
Chest,Dumbbell Press
Chest,Smith Bench Press
Chest,Incline Smith Bench
Chest,Incline Dumbbell Press
Chest,Pushups
Chest,Pushups w/Bar
Chest,TRX Pushup
Chest,Cable Fly/Press
Chest,Incline Cable Fly/Press
Chest,Dips
Shoulders,Overhead Press
Shoulders,Dumbbell Lateral Raise
Shoulders,Cable Lateral Raise
Shoulders,Front Raise
Shoulders,Face Pulls
Biceps,Barbell Curl
Biceps,Dumbbell Curl
Biceps,Cable Curl
Biceps,Cable Full ROM Curl
Biceps,Hammer Curl
Biceps,Rev Grip Curl
Triceps,Cable Tricep Extension
Triceps,Cross Body Tricep Extension
Triceps,Skull Crushers
Triceps,Close Grip Bench
Triceps,Dips
Calves,Double Leg Calf Raise w/Ground
Quads,Squats
Quads,Box Step Ups
Quads,Weighted Jumps
Hamstrings,Nordic Ham Curls
Hamstrings,RDLs
Hamstrings,Deadlifts
Glutes,Squats
Glutes,Deadlifts
Glutes,Box Step Ups
Lower Back,Lower Back Flexion
Lower Back,Deadlifts
Back,Pull Ups
Back,Barbell Rows
Back,Dumbbell Rows
Chest,Bench Press
Chest,Dumbbell Press
Chest,Pushups
Shoulders,Dumbbell Overhead Press
Shoulders,Barbell Overhead Press
Calves,Single Leg Balance w/Foam
Calves,Y Balance
Calves,2 Tool Rotation
Quads,Lateral Step Downs
Quads,Single Leg Squats
Knees,Spanish Squats
Hamstrings,Single Leg RDLs
Glutes,Single Leg Bridge
Core/Lower Back,Birddog
Core/Lower Back,Birddog Row
Core/Lower Back,Plank w/Lift
Core/Lower Back,Plank w/Knees Touch Elbows
Core/Lower Back,Side Plank w/Lift
Core/Lower Back,Side Plank w/Cable Row
Core/Lower Back,Side Plank w/Hip Dip
Core/Lower Back,Plank w/Yoga Ball
Core/Lower Back,Copenhagen Plank
Core/Lower Back,Pallof Press
Core/Lower Back,Anti-Rotation Walkouts
Core/Lower Back,Suitcase Carry
Core/Lower Back,Chaotic Suitcase Carry
Core/Lower Back,SL RDL
Core/Lower Back,Marching w/Foam Roller
Shoulders,Side Plank
Shoulders,High Er Y
Shoulders,Rev Kettlebell Carry
Ankle,Banded Dorsiflexion
Ankle,Weighted Dorsiflexion
Ankle,Child Pose w/Plantarflexion
Ankle,Toe Extensions
Ankle,Gastroc Stretch
Ankle,Soleus Stretch
Ankle,ATG Split Squat
Knee,Prone Quad Stretch w/Strap
Knee,Quad Sets
Knee,Heel Slides
Knee,ATG Split Squat
Hip,Hamstring Stretch w/Rotations
Hip,Seated Hamstring Stretch
Hip,Falling 4's
Hip,Piriformis Stretch
Hip,Falling 4/Piriformis Combo
Hip,Lunge Stretch
Hip,Couch Stretch
Hip,Half Frog Stretch
Hip,Hip Airplane
Hip,Banded Hip Mobilization
Lower Back,3-Way Child Pose
Lower Back,QL Stretch
Back,Open Books
Back,Thread Needle
Shoulder,Doorway Pec Stretch
Shoulder,Bar Hangs
Shoulder,Uppercuts w/Fr
Shoulder,Cross Body Stretch
Shoulder,Sleeper Stretch
Shoulder,Lift Offs
Shoulder,Behind Back Towel Pulls
Calves,Reverse Sweeps (Peroneal Strength)
Calves,Sweeps (Posterior Tibialis Strength)
Calves,Toe Raises (Anterior Tibialis Strength)
Quads,Terminal Knee Extension
Quads,Quad Sets
Hamstrings,Hamstring Towel Curls
Hamstrings,Heel Slides
Adductors,Ball Squeeze
Adductors,Copehagen Plank
Hip Flexors,Supine Hip Flexion
Glutes,Side Lying Leg Raises
Glutes,Cable Hip Abduction
Back,ITY's
Back,Pushup Plus
Back,Full ROM Row
Shoulder,High ER Y
Shoulder,No Moneys
Shoulder,ER @ Neutral
Shoulder,IR @ Neutral
Shoulder,ER @ 90
Shoulder,IR @ 90
Shoulder,Snow Angles
Shoulder,Abduction Upper Cuts w/FR
Shoulder,Lock 3
